@What's popular?;Was ist angesagt?;
Hello!\n%s!;Hallo!\n%s!;こんにちは！\n%s！;Salut!\n%s!;Ciao!\n%s!;¡Hola!\n¡%s!;
I love %s!;Ich liebe %s!;%s　だいすき！;J'adore %s!;Adoro %s!;¡Me encanta %s!;
I love %s!\nI love %s, too!;Ich liebe %s!\nUnd ich liebe auch %s!;%s　だいすき！\n%s　も　だいすき！;J'adore %s!\nJ'adore %s, aussi!;Adoro %s!\nAnch'io adoro %s!;¡Me encanta %s!\n¡También me encanta %s!;
This %s is\n%s, isn't it?;%s ist\n%s, oder etwa nicht?;この　%sは\n%s　でしょ！;Ce %s est\n%s, n'est-ce pas?;%s è\n%s, vero?;Este %s es\n%s, ¿verdad?;
I can do anything for\n%s!;Für %s tue ich alles!;%s　の　ためなら\nなんでも　できるよ！;Je ferais n'importe quoi pour\n%s!;Farei di tutto per\n%s!;¡Haría lo que fuera por\n%s!;
This %s is\n%s!;%s ist\n%s!;この　%s　は\n%s　ですよ！;Ce %s est\n%s!;%s è\n%s!;¡Este %s es\n%s!;
%s is the real\n%s!;%s ist das wahre\n%s!;%s　こそ\n%s　なのだ！;%s est vraiment\n%s!;%s è proprio\n%s!;¡%s es de verdad\n%s!;
It might be %s...;Es könnte %s sein...;%s　かも　しれない……;Ce pourrait bien être \n%s...;Potrebbe essere %s...;Puede ser %s...;
There's only %s\nleft!;Es gibt nur noch\n%s!;もう　%s　しか　ない！;Il ne reste plus \nque %s!;Chi è rimasto? \nSolo %s!;¡Solo queda %s!;
It's %s!\nIt's %s!;Es ist %s!\nEs ist %s!;%s　です！\n%s　なんです！;C'est %s!\nC'est %s!;È %s!\nÈ %s!;¡Es %s!\n¡Es %s!;
I prefer %s\nafter all!;Ich bevorzuge letzten Endes\ndoch %s!;やっぱり\n%s　が　いい！;Finalement, je préfère\n%s!;Dopotutto preferisco\n%s!;¡La verdad es que\nyo prefiero %s!;
Is %s\n%s?;Ist %s\n%s?;%s　は\n%s　なの？;Est-ce que %s est\n%s?;È %s\n%s?;¿Es %s\n%s?;
Do you like %s?;Magst du %s?;%sは\nすき　ですか？;Tu aimes %s?;Ti piace %s?;¿Te gusta %s?;
What do you think of\n%s?;Wie denkst du über\n%s?;%s　の　こと\nどう　おもう？;Qu'est-ce que tu penses de\n%s?;Cosa ne pensi di\n%s?;¿Qué piensas de\n%s?;
%s is so\n%s!;%s ist so\n%s!;%s　って\n%s　！;%s est tellement\n%s!;%s è così\n%s!;¡%s es muy\n%s!;
%s are\n%s!;%s sind\n%s!;%s　は\n%s　だよ！;Les %s sont\n%s!;%s sono\n%s!;¡%s son\n%s!;
%s, right?;%s, oder?;%s　だよね！;%s, non?;%s, giusto?;%s, ¿no?;
Did you know %s?\nIt's %s!;Kennst du %s?\nEs ist %s!;%s　しってた？\n%s　なの！;Tu connais %s?\nIl est %s!;Conoscevi %s?\nÈ %s!;¿Conocías a %s?\n¡Es %s!;
Excuse me...\nIt's %s!;Entschuldigung...\nEs ist %s!;あのね……\n%s　です！;Excuse-moi...\nC'est %s!;Scusa...\nÈ %s!;Perdona...\n¡Es %s!;
%s, right?\n%s!;%s, richtig?\n%s!;%s　だよね？\n%s　！;%s, d'accord?\n%s!;%s, giusto?\n%s!;%s, ¿no?\n¡%s!;
@A greeting for the Union Room?;Eine Begrüßung für den Konnex-Klub?;
%s!\nHello!;%s!\nHallo!;%s！\nこんにちは！;%s!\nBonjour!;%s!\nCiao!;¡%s!\n¡Hola!;
Glad to meet you!\nI love %s!;Freut mich, dich kennenzulernen!\nIch liebe %s!;はじめまして！\n%s　だいすき　です！;Quelle joie de te rencontrer!\nJ'aime %s!;Piacere di conoscerti!\nAdoro %s!;¡Todo un placer conocerte!\n¡Me encanta %s!;
I'm a %s Trainer!\nPlease battle me!;Ich bin ein %s-Trainer!\nBitte, tritt gegen mich an!;%s　トレーナーです\nたいせん　してください！;Je suis un Dresseur %s!\nOn fait un combat?;Sono un Allenatore %s!\nSfidami!;¡Entreno %s!\n¡Vamos a luchar!;
Please trade!\nI'm offering %s!;Oh, bitte tausche mit mir!\nIch biete %s!;こうかん　してください！\n%sを　あげます！;On fait un échange?\nJe propose un %s!;Facciamo uno scambio!\nIo ti offro %s!;¡Vamos a intercambiar!\n¡Te ofrezco %s!;
Please trade!\nI want a %s!;Bitte tausche mit mir!\nIch möchte %s haben!;こうかん　してください！\n%sが　ほしいな！;On fait un échange?\nJe veux un %s!;Facciamo uno scambio!\nVorrei 1 %s!;¡Vamos a intercambiar!\n¡Yo quiero %s!;
I've entered the Union Room.;Ich habe den Konnex-Klub betreten.;ユニオンルームに　はいりました！;Je suis dans la Salle Union.;Sono nella Sala Contatto.;He entrado en la Sala Unión.;
Let's draw! I want to draw\n%s!;Lass uns was zeichnen! Ich möchte\n%s zeichnen!;おえかき　しよう！\n%sを　かきたいな！;Et si on dessinait? Je veux dessiner \n%s!;Disegniamo! Io voglio fare\n%s!;¡Vamos a dibujar! ¡Quiero dibujar\n%s!;
I've got to go!\n%s!;Ich muss los!\n%s!;かえりまーす！\n%s！;Je dois partir!\n%s!;Devo andare!\n%s!;¡Tengo que irme!\n¡%s!;
Please leave me alone...;Bitte, lass mich allein...;ひとりに　して　ください……;Je veux qu'on me laisse tranquille...;Lasciami in pace, per favore...;Déjame en paz...;
Anyone want to\n%s?;Möchte jemand\n%s?;%sを\x0001\nしたい　ひと　いる？;Quelqu'un veut\n%s?;C'è nessuno che vuole\n%s?;¿Hay alguien que quiera\n%s?;
Let's %s!;Lasst uns %s!;%s　しよう！;Allez, %s!;%s, dai!;¡Vamos a %s!;
Want to %s?;Möchtest du %s?;%s　しませんか？;%s, voilà ce que \nj'aimerais faire. Alors?;Vuoi %s?;¿Quieres %s?;
I want to %s!;Ich möchte %s!;%s　したい！;Je veux %s!;Voglio %s!;¡Quiero %s!;
OK!;Einverstanden!;オーケー　です！;OK!;Va bene!;¡Vale!;
I don't want to\n%s.;Ich möchte nicht\n%s.;%s\nは　したく　ないの;Je ne veux pas\n%s.;Non voglio\n%s.;No quiero\n%s.;
I'll go wait at the Colosseum\nnow.;Ich werde am Kolosseum warten.;いまから　コロシアムに\nいって　まってます！;Je vais aller attendre au Colisée.;Vado ad aspettarti al Colosseo.;Voy a ir al Coliseo a\nesperar allí.;
Please talk to me!;Bitte, sprich mit mir!;はなしかけて　ください！;J'aimerais qu'on discute!;Parla con me, per favore!;¡Háblame!;
Do you know where I am?;Weißt du, wo ich bin?;どこに　いるか　わかる？;Où suis-je?;Vuoi sapere dove sono?;¿Sabes dónde estoy?;
I want to trade my %s.\nPlease talk to me.;Ich möchte mein %s\ntauschen. Bitte, sprich mit mir.;%s　こうかん　したい！\nはなしかけて　ください！;Je veux échanger %s.\nJ'aimerais qu'on discute!;Vorrei scambiare %s.\nParla con me, per favore.;Intercambio mi %s.\nHabla conmigo.;
I want a %s battle!\nPlease talk to me!;Ich will einen %s-Kampf!\nBitte, sprich mit mir!;%s　たいせん　したい！\nはなしかけて　ください！;Je veux un combat %s!\nJ'aimerais qu'on discute!;Voglio una lotta %s!\nParla con me, per favore!;¡Quiero un combate %s!\n¡Habla conmigo!;
@Your feeling at the battle's start?;Wie fühlst du dich bei Kampfbeginn?;
Please!\n%s!;Bitte!\n%s!;おねがいします！\n%s！;S'il te plaît!\n%s!;Per favore!\n%s!;¡Por favor!\n¡%s!;
Go! %s!;Los! %s!;いけ！　%s！;En avant! %s!;Vai! %s!;¡Vamos! ¡%s!;
I'll battle with\n%s!;Ich werde mit\n%s kämpfen!;%sで\nしょうぶ　です！;Je me battrai avec\n%s!;Combatterò con\n%s!;¡Lucharé con\n%s!;
It's %s!;Das ist %s!;%s　だよ！;C'est %s!;È %s!;¡Es %s!;
%s, I'm going\nwith %s!;%s, ich gehe\nmit %s!;%s\n%sで　いくよ！;%s, je vais \navec %s!;%s, vado\ncon %s!;¡%s, me voy\ncon %s!;
Look at %s!;Sieh dir %s an!;%sを　みて！;Regarde %s!;Guarda un po' %s!;¡Mira a %s!;
I'll show you %s!;Ich werde dir %s zeigen!;%sを　みせるよ！;Je vais te montrer ce que\n%s veut dire!;Ti faccio vedere %s!;¡Voy a enseñarte %s!;
Now!\n%s!;Jetzt!\n%s!;さあ！\n%s！;Maintenant!\n%s!;Ora!\n%s!;¡Ahora!\n¡%s!;
I'll show you my\n%s strategy!;Ich werde dir meine\n%s-Strategie zeigen!;%s　さくせん　を\nみせて　あげる！;Je vais te montrer ma stratégie de\n%s!;Ti mostrerò la mia strategia\n%s!;¡Voy a enseñarte mi\nestrategia %s!;
I'll %s!;Ich werde %s!;%s　します！;Je vais %s!;Farò %s!;¡Voy a %s!;
I'll shock you with\n%s!;Ich werde dich mit\n%s schocken!;%sで\nびっくり　させるよ！;Je vais te choquer\navec %s!;Ti stupirò con\n%s!;¡Vas a llevarte una sorpresa\ncon %s!;
This is the beginning\nof %s!;Dies ist der Anfang\nvon %s!;%sの\nはじまり　ですよ！;C'est le début de %s!;Questo è l'inizio\ndi %s!;¡Este es el principio\nde %s!;
This battle is\n%s!;Dieser Kampf ist\n%s!;この　しょうぶ\n%sです！;Ce combat est\n%s!;Questa sfida è\n%s!;¡Este combate es\n%s!;
I don't think I'll\never lose at %s!;Ich denke nicht, dass ich jemals\nbei %s verlieren werde!;%s　だけは\nまける　きが　しない！;%s?\nJe ne perdrai jamais!;Penso proprio che non perderò\nmai a %s!;¡No creo que nunca\npierda en %s!;
Team %s is here!;Team %s ist hier!;%s　チーム\nさんじょう！;L'équipe %s est\ndans la place!;Il Team %s è qui!;¡El equipo %s está aquí!;
You think you can beat\n%s?;Glaubst du wirklich, du kannst\n%s schlagen?;%s　に\nかてる　と　おもう？;Tu crois pouvoir battre le\n%s?;Pensi di poter battere\n%s?;¿Crees que puedes derrotar a\n%s?;
%s!\n%s power!;%s!\n%s Kraft!;%s　！\n%s　パワー！;%s!\nPuissance %s!;%s!\nForza %s!;¡%s!\n¡Poder %s!;
This is the %s\nPokémon!;Dies ist das %s\nPokémon!;これが\n%sポケモン　だよ！\x0001　\x0001　　;Ce Pokémon est le plus\n%s!;Questo è il Pokémon\n%s!;¡Este es el Pokémon %s!;
%s won't lose!;%s wird nicht verlieren!;%s　なら\nまけない！;%s est invincible!;%s non perderà!;¡%s no puede perder!;
Please %s!\n%s!;Bitte, %s!\n%s!;おねがい　%s！\n%s！;S'il te plaît, %s!\n%s!;Per favore, %s!\n%s!;¡Por favor, %s!\n¡%s!;
@What do you say if you win a battle?;Was sagst du wenn du einen Kampf gewinnst?;
I win!\n%s!;Ich habe gewonnen!\n%s!;かちました！\n%s！;J'ai gagné!\n%s!;Ho vinto!\n%s!;¡He ganado!\n¡%s!;
I won!\nI won with %s!;Ich habe gewonnen!\nGewonnen mit %s!;かった！\n%s　で　かった！;J'ai gagné!\nJ'ai gagné avec %s!;Ho vinto!\nHo vinto con %s!;¡He ganado!\n¡He ganado con %s!;
%s is strong,\nisn't it?;%s ist stark,\nnicht wahr?;%s\nつよい　でしょ！;%s est fort, non?;%s è forte,\nnon è vero?;%s es muy fuerte,\n¿verdad?;
It's %s\n%s after all!;Das ist immerhin %s\n%s!;やっぱり　%s\n%s　です！;En fait, %s est \n%s!;%s è\n%s, dopotutto!;¡Después de todo, es %s\n%s!;
%s, yay!;%s, yeah!;%s　やったー！;%s, yaouh!;%s, urrà!;¡%s, guay!;
Yay, %s!\n%s!;Yeah, %s!\n%s!;わーい　%s！\n%s！;Yaouh, %s!\n%s!;Urrà, %s!\n%s!;¡Sí, %s!\n¡%s!;
Sorry, it's %s\n%s.;Tut mir leid, es ist %s\n%s.;ごめんなさい　%s\n%s　ですね;Je m'excuse, c'est %s,\n%s.;Mi dispiace, è %s\n%s.;Lo siento, es %s\n%s.;
%s!\nThank you!;%s!\nDanke!;%s\nありがとう！;%s!\nMerci!;%s!\nGrazie!;¡%s!\n¡Gracias!;
The way I feel now is\n%s!;Ich fühle mich\n%s!;いまの　きもちは\n%s！;%s... \nVoilà comment je me sens!;Ora mi sento proprio\n%s!;¡Ahora me siento\n%s!;
I wanted people to look at\nmy %s!;Ich möchte, dass man mein\n%s beachtet!;%sを\nみて　ほしかったんだよ！;Je voulais montrer \n%s!;Volevo che tutti vedessero\n%s che mi appartiene!;¡Quiero que la gente mire\nmi %s!;
It's all thanks to\n%s.;Das verdanken wir alles\n%s.;%sの　おかげです;Tout ça grâce à quoi?\n%s!;Devo davvero ringraziare\n%s.;Todo gracias a\n%s.;
I might have won with\n%s!;Mit %s hätte ich\nvielleicht gewonnen!;%s　で\nかてたのかも！;Avec %s, \nj'aurais pu gagner!;Avrei potuto vincere con\n%s!;¡He podido ganar con\n%s!;
I get the happiest with\n%s!;Mit %s bin ich am\nglücklichsten!;いちばん　うれしいのは\n%s！;%s, c'est le bonheur!;%s mi rende \nproprio felice!;¡Estoy muy feliz con\n%s!;
%s secured\nthe victory!;%s hat uns den Sieg\ngesichert!;%sが\nしょうりの　きめてです！;%s, voilà ce \nqui m'a donné la victoire.;%s ha assicurato\nla vittoria!;¡%s me ha dado\nla victoria!;
This %s\nwas really good!;%s war echt gut!;この　%s\nほんとに　よかった！;Ce %s\nétait vraiment bien!;%s...\nChe spettacolo!;¡%s\nha estado genial!;
%s\nwas fun, wasn't it?;%s\nwar schon lustig, oder?;%s\nたのしかったねー;Ce %s était vraiment \namusant, tu ne trouves pas?;%s:\nè stato divertente, vero?;%s\nha sido divertido, ¿verdad?;
Huh?\n%s?!;Wie?\n%s?!?;えっ！\n%s！？;Hein?\n%s?!?;Come?\n%s?!;¿Eh?\n¡¿%s?!;
%s is the toughest!;%s ist unglaublich!;%sが\nさいきょう　です！;%s est le plus fort!;%s è davvero forte!;¡%s es el más fuerte!;
Happy!\n%s happy!;Glücklich sein!\n%s glücklich sein!;うれしい！\n%s　うれしい！;Content!\n%s content!;Che felicità!\n%s, che felicità!;¡Muy feliz!\n¡%s muy feliz!;
How's that?!\n%s!;Was sagst du dazu?!?\n%s!;どうだ！\n%s！;Qu'est-ce que tu penses de ça?!?\n%s!;Come sarebbe?!\n%s!;¡¿Y eso?!\n¡%s!;
@What do you say if you lose a battle?;Was sagst du, wenn du einen Kampf verlierst?;
You win...\n%s!;Du gewinnst...\n%s!;まけました……\n%s！;Tu gagnes...\n%s!;Hai vinto...\n%s!;Has ganado...\n¡%s!;
%s was the one\nthing I wanted to avoid...;%s wollte ich eigentlich\num jeden Preis vermeiden...;%s　だけは\nいやだった……;%s... \nExactement ce que je voulais éviter!;%s era proprio\nquello che volevo evitare...;%s era justo\nlo que quería evitar...;
Waaah!\n%s!;Waaah!\n%s!;うわーん　%s！！;Waaah!\n%s!;Waaah!\n%s!;¡Uaaah!\n¡%s!;
I want to go home with\n%s...;Ich möchte mit %s\nnach Hause gehen...;%s　と　いっしょに\nかえりたい……;Je veux rentrer à la maison avec\n%s...;Voglio andare a casa con\n%s.;Quiero irme a casa con\n%s...;
%s!\n%s!;%s!\n%s!;%sーーー！！！\n%sーーーー！！！！;%s!\n%s!;%s!\n%s!;¡%s!\n¡%s!;
Could it be...?\n%s...?;Kann das sein...?\n%s...?;もしかして\n%s　……　？;Est-ce possible...?\n%s...?;Potrebbe essere...?\n%s...?;¿Podría ser...?\n¿%s...?;
%s!\nHow awful!;%s!\nOh, schrecklich!;%s　なんて\nひどいです！;%s!\nVraiment horrible!;%s!\nÈ terribile!;¡%s!\n¡No puede ser!;
I was confident about\n%s, too.;Ich war zuversichtlich, was\n%s anging.;%s　なら\nじしんが　あったのに;%s, voilà ce qui m'a \ndonné confiance.;Anch'io confidavo su\n%s.;Yo también confiaba en\n%s.;
You're %s,\naren't you?;Du bist %s,\nnicht wahr?;きみって　%s\nなんだね……;Tu es %s, \nn'est-ce pas?;Sei %s,\nnon è vero?;Tú eres %s,\n¿no?;
%s!\nCan't be anything else but.;%s!\nKann ja gar nichts anderes sein.;%s　いがいの\nなにもの　でも　ない;%s!\nVoilà ce que c'est!;%s!\nNon può essere altro che quello.;¡%s!\nSolo puede ser eso.;
I feel so helplessly angry...\nIt's %s!;Ich bin so verärgert...\nDas ist einfach %s!;この　くやしさは\n%s　です！;Je n'ai rien pu faire, ça m'énerve!\nC'est %s!;Che rabbia tremenda.\nÈ %s!;La ira me corroe...\n¡Es %s!;
%s makes me sad...;%s macht mich traurig...;%sが\nかなしいなあ;%s...\nÇa me rend triste.;%s mi rattrista...;%s me entristece...;
I feel sorry for\n%s!;%s tut mir leid!;%sが\nかわいそう　です！;Je m'excuse pour\n%s!;Mi dispiace per\n%s!;¡Lo siento por\n%s!;
The way I feel now is\n%s...;Ich fühle mich\n%s...;いまの　きもちは\n%s　です……;Je me sens...\n%s...;Ora mi sento proprio\n%s...;Ahora me siento\n%s...;
I lost, but I won at\n%s!;Ich mag verloren haben, aber bei\n%s habe ich gewonnen!;まけた　けど\n%sで　かった！;J'ai perdu, mais pour ce qui est de\n%s, j'ai gagné!;Ho perso, ma ho vinto a\n%s!;¡He perdido, pero gané en\n%s!;
I would've won if this\nwere %s...;Wäre dies %s...\nHätte ich gewonnen!;%sなら\nかてた　のに……;Si ça avait été %s, \nj'aurais gagné.;Avrei vinto se si fosse trattato\ndi %s...;Habría podido ganar si esto\nfuera %s...;
My head's filled with only\n%s now!;In meinem Kopf gibt es momentan\nnur eines: %s!;もう　あたまの　なか\n%s　だらけ;%s, voilà tout ce que\nj'ai à l'esprit!;Ora ho solo\n%s per la testa!;¡%s! ¡Es lo único en lo\nque puedo pensar!;
The way I lost...\nIt's like %s...;So, wie ich verloren habe...\n... ... %s...;この　まけかたは\n%s　に　にている……;La façon dont j'ai perdu...\nC'est %s...;Il modo in cui ho perso...\nÈ come %s...;He perdido\ncomo %s...;
Isn't %s\n%s?;Ist %s nicht\n%s?;%s　は\n%s　なんじゃない？;%s est\n%s, non?;%s non è\n%s?;¿No es %s\n%s?;
Aww... That's really\n%s...;Ooh... Das ist aber wirklich\n%s...;あーあ　まさに\n%s　……;Oh, c'est vraiment\n%s...;Oh... è davvero\n%s...;Oh... Es realmente\n%s...;
@END;END;END;END;END;END;
