0000,Mystery Zone,Mysteriöser Ort,
0001,Twinleaf Town,Zweiblattdorf,
0002,Sandgem Town,Sandgemme,
0003,Floaroma Town,Flori,
0004,Solaceon Town,Trostu,
0005,Celestic Town,Elyses,
0006,Jubilife City,Jubelstadt,
0007,Canalave City,Fleetburg,
0008,Oreburgh City,Erzelingen,
0009,Eterna City,Ewigenau,
0010,Hearthome City,Herzhofen,
0011,Pastoria City,Weideburg,
0012,Veilstone City,Schleiede,
0013,Sunyshore City,Sonnewik,
0014,Snowpoint City,Blizzach,
0015,Pokémon League,Pokémon Liga,
0016,Route 201,Route 201,
0017,Route 202,Route 202,
0018,Route 203,Route 203,
0019,Route 204,Route 204,
0020,Route 205,Route 205,
0021,Route 206,Route 206,
0022,Route 207,Route 207,
0023,Route 208,Route 208,
0024,Route 209,Route 209,
0025,Route 210,Route 210,
0026,Route 211,Route 211,
0027,Route 212,Route 212,
0028,Route 213,Route 213,
0029,Route 214,Route 214,
0030,Route 215,Route 215,
0031,Route 216,Route 216,
0032,Route 217,Route 217,
0033,Route 218,Route 218,
0034,Route 219,Route 219,
0035,Route 220,Route 220,
0036,Route 221,Route 221,
0037,Route 222,Route 222,
0038,Route 223,Route 223,
0039,Route 224,Route 224,
0040,Route 225,Route 225,
0041,Route 226,Route 226,
0042,Route 227,Route 227,
0043,Route 228,Route 228,
0044,Route 229,Route 229,
0045,Route 230,Route 230,
0046,Oreburgh Mine,Erzelingen-Mine,
0047,Valley Windworks,Windkraftwerk,
0048,Eterna Forest,Ewigwald,
0049,Fuego Ironworks,Feuriohütte,
0050,Mt. Coronet,Kraterberg,
0051,Spear Pillar,Speersäule,
0052,Great Marsh,Großmoor,
0053,Solaceon Ruins,Trostu-Ruinen,
0054,Victory Road,Siegesstraße,
0055,Pal Park,Park der Freunde,
0056,Amity Square,Platz der Treue,
0057,Ravaged Path,Verwüsteter Pfad,
0058,Floaroma Meadow,Auen von Flori,
0059,Oreburgh Gate,Erzelingen-Tor,
0060,Fullmoon Island,Vollmond-Insel,
0061,Sendoff Spring,Scheidequelle,
0062,Turnback Cave,Höhle der Umkehr,
0063,Flower Paradise,Blumenparadies,
0064,Snowpoint Temple,Blizzach-Tempel,
0065,Wayward Cave,Bizarre Höhle,
0066,Ruin Maniac Cave,Maniac-Höhle,
0067,Maniac Tunnel,Maniac-Tunnel,
0068,Trophy Garden,Trophäengarten,
0069,Iron Island,Eiseninsel,
0070,Old Chateau,Alte Villa,
0071,Galactic HQ,Galakti-Zentrale,
0072,Verity Lakefront,Wahrheitsufer,
0073,Valor Lakefront,Kühnheitsufer,
0074,Acuity Lakefront,Stärkeufer,
0075,Spring Path,Frühlingspfad,
0076,Lake Verity,See der Wahrheit,
0077,Lake Valor,See der Kühnheit,
0078,Lake Acuity,See der Stärke,
0079,Newmoon Island,Neumond-Insel,
0080,Btl Twr (Sinnoh),Duelltrm (Sinnoh),
0081,Fight Area,Kampfareal,
0082,Survival Area,Überlebensareal,
0083,Resort Area,Erholungsgebiet,
0084,Stark Mountain,Kahlberg,
0085,Seabreak Path,Buhnen-Pfad,
0086,Hall of Origin,Halle d. Beginns,
0087,Verity Cavern,Wahrheitsgrotte,
0088,Valor Cavern,Kühnheitsgrotte,
0089,Acuity Cavern,Stärkegrotte,
0090,Jubilife TV,Jubelstadt TV,
0091,Pokétch Co.,Pokétch Ges.,
0092,GTS,GTS,
0093,Trainers' School,Trainerschule,
0094,Mining Museum,Bergbaumuseum,
0095,Flower Shop,Blumenladen,
0096,Cycle Shop,Fahrradladen,
0097,Contest Hall,Wettbewerbshalle,
0098,Poffin House,Knursperei,
0099,Foreign Building,Begegnungsstätte,
0100,Pokémon Day Care,Pokémon-Pension,
0101,Veilstone Store,Schleiede-Kaufh.,
0102,Game Corner,Spielhalle,
0103,Canalave Library,Fleetburg-Bibl.,
0104,Vista Lighthouse,Leuchtturm,
0105,Sunyshore Market,Sonnewik-Markt,
0106,Pokémon Mansion,PKMN-Landgut,
0107,Footstep House,Schrittritt-Haus,
0108,Café,Café,
0109,Grand Lake,Prachtsee,
0110,Restaurant,Restaurant,
0111,Battle Park,Duellpark,
0112,BtlFrnt (Sinnoh),Kmpfzone (Sinnoh),
0113,BtlFact (Sinnoh),Kmpffabr (Sinnoh),
0114,BtlCstl (Sinnoh),Kmpfpals (Sinnoh),
0115,BtlArcd (Sinnoh),Kmpfarkd (Sinnoh),
0116,BtlHall (Sinnoh),Kmpfsaal (Sinnoh),
0117,Distortion World,Zerrwelt,
0118,Global Terminal,Global. Terminal,
0119,Villa,Villa,
0120,Battleground,Duellareal,
0121,ROTOM's Room,Raum von ROTOM,
0122,T.G. Eterna Bldg,Galaktik-Gebäude,
0123,Iron Ruins,Eisen-Ruinen,
0124,Iceberg Ruins,Eisberg-Ruinen,
0125,Rock Peak Ruins,Gipfelruinen,
0126,New Bark Town,Neuborkia,
0127,Cherrygrove City,Rosalia City,
0128,Violet City,Viola City,
0129,Azalea Town,Azalea City,
0130,Cianwood City,Anemonia City,
0131,Goldenrod City,Dukatia City,
0132,Olivine City,Oliviana City,
0133,Ecruteak City,Teak City,
0134,Mahogany Town,Mahagonia City,
0135,Lake of Rage,See des Zorns,
0136,Blackthorn City,Ebenholz City,
0137,Mt. Silver,Silberberg,
0138,Pallet Town,Alabastia,
0139,Viridian City,Vertania City,
0140,Pewter City,Marmoria City,
0141,Cerulean City,Azuria City,
0142,Lavender Town,Lavandia,
0143,Vermilion City,Orania City,
0144,Celadon City,Prismania City,
0145,Fuchsia City,Fuchsania City,
0146,Cinnabar Island,Zinnoberinsel,
0147,Indigo Plateau,Indigo Plateau,
0148,Saffron City,Saffronia City,
0149,Route 1,Route 1,
0150,Route 2,Route 2,
0151,Route 3,Route 3,
0152,Route 4,Route 4,
0153,Route 5,Route 5,
0154,Route 6,Route 6,
0155,Route 7,Route 7,
0156,Route 8,Route 8,
0157,Route 9,Route 9,
0158,Route 10,Route 10,
0159,Route 11,Route 11,
0160,Route 12,Route 12,
0161,Route 13,Route 13,
0162,Route 14,Route 14,
0163,Route 15,Route 15,
0164,Route 16,Route 16,
0165,Route 17,Route 17,
0166,Route 18,Route 18,
0167,Route 19,Route 19,
0168,Route 20,Route 20,
0169,Route 21,Route 21,
0170,Route 22,Route 22,
0171,Route 23,Route 23,
0172,Route 24,Route 24,
0173,Route 25,Route 25,
0174,Route 26,Route 26,
0175,Route 27,Route 27,
0176,Route 28,Route 28,
0177,Route 29,Route 29,
0178,Route 30,Route 30,
0179,Route 31,Route 31,
0180,Route 32,Route 32,
0181,Route 33,Route 33,
0182,Route 34,Route 34,
0183,Route 35,Route 35,
0184,Route 36,Route 36,
0185,Route 37,Route 37,
0186,Route 38,Route 38,
0187,Route 39,Route 39,
0188,Route 40,Route 40,
0189,Route 41,Route 41,
0190,Route 42,Route 42,
0191,Route 43,Route 43,
0192,Route 44,Route 44,
0193,Route 45,Route 45,
0194,Route 46,Route 46,
0195,Route 47,Route 47,
0196,Route 48,Route 48,
0197,DIGLETT's Cave,DIGDAs Höhle,
0198,Mt. Moon,Mondberg,
0199,Cerulean Cave,Azuria-Höhle,
0200,Rock Tunnel,Felstunnel,
0201,Power Plant,Kraftwerk,
0202,Safari Zone (Kanto),Safari-Zone (Kanto),
0203,Seafoam Islands,Seeschauminseln,
0204,Sprout Tower,KNOFENSA-Turm,
0205,Bell Tower,Glockenturm,
0206,Burned Tower,Turmruine,
0207,National Park,Nationalpark,
0208,Radio Tower,Radioturm,
0209,Ruins of Alph,Alph-Ruinen,
0210,Union Cave,Einheitstunnel,
0211,SLOWPOKE Well,FLEGMON-Brunnen,
0212,Lighthouse,Leuchtturm,
0213,Team Rocket HQ,Rocket-Versteck,
0214,Ilex Forest,Steineichenwald,
0215,Goldenrod Tunnel,Dukatia-Passage,
0216,Mt. Mortar,Kesselberg,
0217,Ice Path,Eispfad,
0218,Whirl Islands,Strudelinseln,
0219,Mt. Silver Cave,Silberberghöhle,
0220,Dark Cave,Dunkelhöhle,
0221,Victory Road,Siegesstraße,
0222,Dragon's Den,Drachenhöhle,
0223,Tohjo Falls,Tohjo-Fälle,
0224,Viridian Forest,Vertania-Wald,
0225,Pokéathlon Dome,Pokéathlonhallen,
0226,S.S. Aqua,M.S. Aqua,
0227,Safari Zone Gate,Safari-Eingang,
0228,Cliff Cave,Felsschlundhöhle,
0229,Frontier Access,Kampfzonenzugang,
0230,Bellchime Trail,Glockenklangpfad,
0231,Sinjoh Ruins,Sinjoh-Ruinen,
0232,Embedded Tower,Felsenherzturm,
0233,Pokéwalker,Pokéwalker,
0234,Cliff Edge Gate,Felsklippentor,
0500,Littleroot Town,Wurzelheim,
0501,Oldale Town,Rosaltstadt,
0502,Dewford Town,Faustauhaven,
0503,Lavaridge Town,Bad Lavastadt,
0504,Fallarbor Town,Laubwechselfeld,
0505,Verdanturf Town,Wiesenflur,
0506,Pacifidlog Town,Floßbrunn,
0507,Petalburg City,Blütenburg City,
0508,Slateport City,Graphitport City,
0509,Mauville City,Malvenfroh City,
0510,Rustboro City,Metarost City,
0511,Fortree City,Baumhausen City,
0512,Lilycove City,Seegrasulb City,
0513,Mossdeep City,Moosbach City,
0514,Sootopolis City,Xeneroville,
0515,Ever Grande City,Prachtpolis City,
0516,Pokémon League,Pokémon Liga,
0517,Route 101,Route 101,
0518,Route 102,Route 102,
0519,Route 103,Route 103,
0520,Route 104,Route 104,
0521,Route 105,Route 105,
0522,Route 106,Route 106,
0523,Route 107,Route 107,
0524,Route 108,Route 108,
0525,Route 109,Route 109,
0526,Route 110,Route 110,
0527,Route 111,Route 111,
0528,Route 112,Route 112,
0529,Route 113,Route 113,
0530,Route 114,Route 114,
0531,Route 115,Route 115,
0532,Route 116,Route 116,
0533,Route 117,Route 117,
0534,Route 118,Route 118,
0535,Route 119,Route 119,
0536,Route 120,Route 120,
0537,Route 121,Route 121,
0538,Route 122,Route 122,
0539,Route 123,Route 123,
0540,Route 124,Route 124,
0541,Route 125,Route 125,
0542,Route 126,Route 126,
0543,Route 127,Route 127,
0544,Route 128,Route 128,
0545,Route 129,Route 129,
0546,Route 130,Route 130,
0547,Route 131,Route 131,
0548,Route 132,Route 132,
0549,Route 133,Route 133,
0550,Route 134,Route 134,
0551,Meteor Falls,Meteorfälle,
0552,Rusturf Tunnel,Metaflurtunnel,
0553,???,???,
0554,Desert Ruins,Wüstenruine,
0555,Granite Cave,Granithöhle,
0556,Petalburg Woods,Blütenburgwald,
0557,Mt. Chimney,Schlotberg,
0558,Jagged Pass,Steilpass,
0559,Fiery Path,Feuriger Pfad,
0560,Mt. Pyre,Pyroberg,
0561,Team Aqua Hideout,Team Aquas Versteck,
0562,Seafloor Cavern,Tiefseehöhle,
0563,Cave of Origin,Urzeithöhle,
0564,Victory Road,Siegesstraße,
0565,Shoal Cave,Küstenhöhle,
0566,New Mauville,Neu Malvenfroh,
0567,Abandoned Ship,Schiffswrack,
0568,Island Cave,Inselhöhle,
0569,Ancient Tomb,Grabmal,
0570,Sealed Chamber,Siegelkammer,
0571,Scorched Slab,Sonnengrotte,
0572,Team Magma Hideout,Team Magmas Versteck,
0573,Sky Pillar,Himmelturm,
0574,Battle Frontier,Kampfzone,
0575,Southern Island,Insel im Süden,
0576,S.S. Tidal,MS Tide,
0577,Safari Zone,Safari-Zone,
0578,Mirage Forest,Wunderwald,
0579,Mirage Cave,Wunderhöhle,
0580,Mirage Island,Wundereiland,
0581,Mirage Mountain,Wunderberg,
0582,Trackless Forest,Wilder Wald,
0583,Pathless Plain,Namenlose Ebene,
0584,Nameless Cavern,Unerforschte Höhle,
0585,Fabled Cave,Rätselhafte Höhle,
0586,Gnarled Den,Höhle der Spaltung,
0587,Crescent Isle,Sichelinsel,
0588,Secret Islet,Geheiminsel,
0589,Soaring in the sky,Luftraum,
0590,Secret Shore,Geheime Küste,
0591,Secret Meadow,Geheime Blumenwiese,
0592,Secret Base,Geheimbasis,
0593,Hidden Lake,Verborgener See,
0594,Pretty Petal,Blütentraum,
0595,Fiery Den,Feurige Höhle,
0596,Faraway Island,Ferneiland,
0597,Navel Rock,Nabelfels,
0598,Birth Island,Entstehungsinsel,
0701,Pokémon Mart,Pokémon-Markt,
0702,Oceanic Museum,Ozeanmuseum,
0703,Lilycove Museum,Seegrasulb-Museum,
0704,Mauville GC,Malvenf.-Spielh.,
0705,Desert Underpass,Wüstentunnel,
0706,Weather Institute,Wetterinstitut,
0800,Rustboro Gym,Metarost-Arena,
0801,Dewford Gym,Faustauhaven-Arena,
0802,Mauville Gym,Malvenfroh-Arena,
0803,Lavaridge Gym,Bad Lavastadt-Arena,
0804,Petalburg Gym,Blütenburg-Arena,
0805,Fortree Gym,Baumhausen-Arena,
0806,Mossdeep Gym,Moosbach-Arena,
0807,Sootopolis Gym,Xeneroville-Arena,
0808,Prof. Birch's Lab,Prof. Birks Labor,
0809,Lilycove Gym,Seegrasulb-Arena,
0810,Crystal Cavern,Kristallgrotte,
0811,Forest Grotto,Waldgrotte,
0812,Rock Shelter,Halbhöhle,
0813,Battle Tent,Kampfcamp,
0814,Battle Tower,Kampfturm,
0815,Battle Factory,Kampffabrik,
0816,Battle Pike,Kampfipitis,
0817,Battle Palace,Kampfpalast,
0818,Battle Pyramid,Kampfpyramide,
0819,Battle Arena,Kampfring,
0820,Battle Dome,Kampfstadion,
0821,Cable Car,Seilbahn,
0822,Infinity Cave,Endloshöhle,
0999,Unknown Place,Unbekannter Ort,
1000,Cliffelta City,Klippelta City,
1001,Route 135,Route 135,
1002,Blossand Town,Knossandia,
1003,Route 136,Route 136,
1004,New Lilycove City,Neu Seegrasulb City,
1005,Route 137,Route 137,
1006,Route 138,Route 138,
1900,Orre,Orre,
1901,Kalos,Kalos,
1902,Alola,Alola,
1903,Galar,Galar,
1920,Fiore,Fiore,
1921,Almia,Almia,
1922,Oblivia,Oblivia,
1950,Reborn,Reborn,
1951,Tandor,Tandor,
2000,Day-Care Couple,Betreuerpärchen,
2001,Link trade,Linktausch,
2002,Link trade,Linktausch,
2003,Kanto,Kanto,
2004,Johto,Johto,
2005,Hoenn,Hoenn,
2006,Sinnoh,Sinnoh,
2007,Unova,Einall,
2008,Distant Land,Entferntes Land,
2009,Traveling Man,Reisender,
2010,Riley,Urs,
2011,Cynthia,Cynthia,
2012,Mystery Place,Mysteriöser Ort,
2013,Mr. Pokémon,Mr. Pokémon,
2014,Primo,Castor,
3000,Lovely place,Idyll,
3001,Pokémon Ranger,Pokémon Ranger,
3002,Faraway Place,Entfernter Ort,
3052,Pokémon Center,Pokémon-Center,
3072,Wi-Fi Event,Wi-Fi Event,
3073,Wi-Fi Gift,Wi-Fi-Geschenk,
3074,Pokémon Fan Club,Pokémon Fan Club,
3075,Event Site,Event,
3076,Concert Event,Konzert,
