Meteor Falls;Meteorfälle;
[475] Fallarbor Town\nRoute 113 [478];[475] Laubwechselfeld\nRoute 113 [478];
Fallarbor Town\n[129]A farm community with small gardens.[130];Laubwechselfeld\n[131]Eine Gemeinschaft von Farmern mit kleinen Gärten.[129];
Battle Tent Fallarbor Site\n[129]May the Greatest Teams Gather![130];Kampfcamp Laubwechselfeld\n[131]Mögen sich die Besten Teams hier treffen![129];
Move Reminder's House\n[129]New Moves taught to Pokémon.[130];Haus des Attackenmaniac\n[131]Neue Attacken für deine Pokémon.[129];
Fossil Maniac's House\n[129]Fossils gratefully accepted![130];Haus des Fossilienmaniac\n[131]Fossilien gesucht![129];
Lanette's House;Lanettes Haus;
Littleroot Town\n[129]A town that can't be shaded any hue.\";Wurzelheim\n[131]Ein Ort, wie es ihn nur einmal gibt.[129];
Prof. Birch's Lab;Prof. Birks Labor;
[PLAYER]'s House;Haus von [PLAYER];
Prof. Birch's House;Haus von Prof. Birk;
Prof. Birch's House;Haus von Prof. Birk;
Mom: Welcome to Littleroot Town, honey.\rHow do you like it?\nThis is our new home.\rIt has a quaint feel, but it seems to be an\neasy place to live, don't you think?\rAnd you get your own room, [PLAYER]!\nLet's go inside.;Mutter: Willkommen in Wurzelheim, Schatz.\rWie gefällt es dir?\nDas ist unser neues zu Hause.\rIst das idyllisch! Man kann hier sicher\nwunderbar leben, meinst du nicht?\rUnd| du bekommst dein eigenes Zimmer,\n[PLAYER]! Lass uns hineingehen!;
Route 101\n[476] Oldale Town;Route 101\n[476] Rosaltstadt;
Wild Pokémon will jump out at you in tall grass.\rIf you want to catch Pokémon, you have to go\ninto the tall grass and search.;Wilde Pokémon springen dich in hohem\nGras gerne an.\rWenn du Pokémon fangen willst, musst\ndu ins hohe Gras gehen und sie suchen.;
If Pokémon get tired, take them to\na Pokémon Center.\rThere's a Pokémon Center in Oldale Town\nright close by.;Sind deine Pokémon müde, bring sie in ein\nPokémon-Center.\rIn Rosaltstadt, gleich hier um die\nEcke, gibt es ein Pokémon-Center.;
Mom: See, [PLAYER]?\nIsn't it nice in here, too?;Mutter: Siehst du, [PLAYER]?\nHier ist es doch auch schön, oder nicht?;
[129]Rejuvenate your tired partners\"\nPokémon Center;[131]Erfrische deine müden Partner![129]\nPokémon-Center;
Oldale Town\n[129]Where things start of scarce.\";Rosaltstadt\n[131]Wo Dinge selten ihren Anfang nehmen.[129];
[129]Select items for your convenience\"\nPokémon Mart;[131]Ausgewählte Items für Deinen Gebrauch![129]\nPokémon-Supermarkt;
I want to take a rest,\nso I'm saving my progress.;Ich möchte eine Pause einlegen,\ndaher speichere ich mein Spiel.;
My Pokémon is staggeringly tired|\nI should have brought a Potion|;Mein Pokémon ist unglaublich müde|\nIch hätte einen Trank mitnehmen sollen.;
Mom: [PLAYER].\rPlease check out your new PC.\nIt's a gift from Dad after all.;Mutter: [PLAYER].\rProbiere bitte den PC in deinem Zimmer aus.\nEr ist schließlich ein Geschenk von Vati.;
Route 103\n[477] Oldale Town;Route 103\n[477] Rosaltstadt;
[CRY:288]Fugiiih!;[CRY:288]Fugiiih!;
[CRY:288]Huggoh, uggo uggo|;[CRY:288]Huggoh, uggo uggo|;
Dad might like this program.\r| | | | | | | | | | | | |\rBetter get going!;Vati würde dieses Programm gefallen.\r| | | | | | | | | | | | |\rIch beeile mich besser!;
Pokémon Centers are great!\rYou can use their services as much\nas you like, and it's all for free.\rYou never have to worry!;Pokémon-Center sind eine großartige\nEinrichtung!\rDu kannst ihren Service sooft du willst\nin Anspruch nehmen - kostenlos!\rDaher kannst du unbeschwert umherreisen.;
It's a Nintendo GameCube.;Das ist ein Nintendo GameCube.;
[PLAYER] flipped open the notebook.\rAdventure Rule No.1\nOpen the menu with X or START.\rAdventure Rule No.2\nRecord your progress with [129]Save\".\rThe remaining pages are blank|;[PLAYER] schlägt das Notizbuch auf.\rRegel Nr. 1 für Abenteurer\nÖffne das Menü mit X oder START.\rRegel Nr. 2 für Abenteurer\nSichere den Fortschritt mit [131]Speichern[129].\rDie übrigen Seiten sind leer.;
Pokémon magazines!\n[129]The Unown - Hoenn Edition\"|\n[129]How to Train Your Bagon\"|\nAll of them are somewhat boring|;Pokémon-Magazine!\n[131]Icognito in Hoenn[129]|\n[131]Kindwurmzähmen leicht gemacht[129]|\nKeines wirkt besonders ansprechend|;
I'm sorry, but we're currently\nrenovating the top floor.;Es tut mir Leid, aber wir bauen\ndas Obergeschoss gerade um.;
That PC in the corner there is for any\nPokémon Trainer to use.\rNaturally, that means you're welcome\nto use it, too.;Der PC dort in der Ecke ist für alle\nPokémon-Trainer.\rDas heißt, dass auch du ihn benutzen darfst.;
[PLAYER] booted up the PC.;[PLAYER] schaltet den PC ein.;
A message from Dad!\rDad: Hi [PLAYER]! Welcome to our new home.\rI'm busy right now, so I can't\nwelcome you in person.\rBut we should meet nevertheless!\rSo could you please come\nand visit me in my Gym in Petalburg City?\rAh, this Potion may come in handy\nfor your journey.;Eine Nachricht von Vati!\rVater: Hi [PLAYER]!\nWillkommen in unserem neuen Heim.\rIch habe gerade viel zu tun, deswegen\nkann ich dich nicht persönlich empfangen.\rAber wir sollten uns dennoch treffen!\rBesuche mich doch einfach in meiner\nArena in Blütenburg City!\rAh, dieser Trank könnte eventuell\nnützlich sein bei deiner Reise.;
When Pokémon battle, they eventually\nlevel up and become stronger.;Während Kämpfen können Pokémon manchmal\nLevel dazugewinnen und stärker werden.;
If the Pokémon with you become stronger,\nyou'll be able to go farther away from here.;Sobald deine Team-Pokémon stärker geworden\nsind, kannst du auch andere Orte bereisen.;
When a Pokémon battle starts, the one at the\ntop-left of the list goes out first.\rSo, when you get more Pokémon in your party,\ntry switching around their order.\rIt could give you an advantage.;Das Pokémon oben-links in der Liste\ntritt im Kampf als Erstes an.\rHast du mehrere Pokémon in deinem Team,\nversuche sie umzuordnen.\rDas kann dir im Kampf den entscheidenen\nVorteil bringen.;
There is another message.\r???: Greetings [PLAYER], I hope you are having fun.\nThis gift was delivered just for you.;Es gibt eine weitere Nachricht.\r???: Sei gegrüßt, [PLAYER].\nDieses Geschenk ist nur für dich.;
Hello and welcome to the Pokémon Center.\rWe restore your tired Pokémon to full health.;Willkommen im Pokémon-Center.\rWir heilen deine Pokémon und\nmachen sie wieder fit.;
Mom: [PLAYER], how do you like your new room?\rGood! Everything's put away neatly!\rThey finished moving everything in\ndownstairs, too!\rPokémon movers are so convenient!;Mutter: [PLAYER], wie gefällt dir dein\nneues Zimmer?\rGut! Alles ist wunderbar aufgeräumt!\rAuch im Erdgeschoss ist alles\nkomplett eingerichtet.\rPokémon-Umzugshelfer sind so praktisch!;
The clerk says they're all sold out.\nI can't buy any Poké Balls.;Der Verkäufer sagt, es sei alles ausverkauft.\nJetzt stehe ich ohne Pokébälle da.;
If a Pokémon gets hurt and loses its HP and\nfaints, it won't be able to battle.\rTo prevent your Pokémon from fainting,\nrestore its HP with a Potion.;Wird ein Pokémon verletzt und verliert alle\nKP, so ist es kampfunfähig.\rUm das zu vermeiden, solltest du die KP\nbei Bedarf mit einem Trank auffüllen.;
Would you like to rest your Pokémon?;OK. Wir benötigen deine Pokémon.;
Mom: Oh! [PLAYER], [PLAYER]!\nQuick! Come quickly!;Mutter: Oh! [PLAYER], [PLAYER]!\nSchnell Komm schnell her!;
Mom: Look it's Petalburg Gym!\nMaybe Dad will be on!;Mutter: Da! Da ist die Arena von\nBlütenburg City!\rIch glaube, Vati ist im Fernsehen!;
We hope to see you again!;Komm jederzeit wieder vorbei!;
Mom: Oh| It's over.\rI think Dad was on, but we missed him. Too bad.\rOh yes.\nOne of Dad's friends lives in town.\rProf. Birch is his name.\rHe lives right next door, so you should\ngo over and introduce yourself.;Mutter: Oh| Schon vorbei.\rIch glaube, Vati war im Fernsehen und\nwir haben ihn verpasst. Schade!\rAch ja.\nEiner von Vatis Freunden lebt hier.\rProf. Birk ist sein Name.\rEr lebt gleich nebenan, daher solltest\ndu hinübergehen und dich vorstellen.;
Okay, I'll take your Pokémon for a second.;Okay, ich nehme deine Pokémon für\neinen Moment in meine Obhut.;
Thank you for waiting.\rWe've restored your Pokémon to full health.\rWe hope to see you again.;Vielen Dank.\rDeine Pokémon sind wieder top fit.\rKomm jederzeit wieder vorbei!;
The mover's Pokémon do all the work of\nmoving us in and cleaning up after.\rThis is so convenient!\r[PLAYER], your room is upstairs.\nGo check it out, dear!\rDad bought you a new PC to mark our move\nhere. Don't forget to check it out.;Die Pokémon machen für uns den Umzug,\nräumen alles ein und machen sauber.\rDas ist doch so was von praktisch!\r[PLAYER], dein Zimmer ist oben.\nSchau es dir doch mal an, Spatz!\rVati hat dir einen neuen PC zur Begrüßung\ngeschenkt.\rVergiss nicht, ihn auszuprobieren!;
There's an e-mail from the Pokémon\nTrainers' School.\r| | | | | | |\rA Pokémon may learn up to four moves.\rA trainer's expertise is tested on the\nmove sets chosen for Pokémon.\r| | | | | | |;Da ist eine E-Mail von der Pokémon\nTrainerschule.\r| | | | | | |\rEin Pokémon kann bis zu vier Attacken lernen.\rDie Fähigkeiten eines Trainers zeigen sich in\nden Attacken, er seinen Pokémon beibringt.\r| | | | | | |;
Mom: See you, honey!;Mutter: Bis später, Spatz!;
Prof. Birch spends days in his lab studying,\nthen he'll suddenly go out\nin the wild to do more research|\rWhen does Prof. Birch spend time at home?;Prof. Birk verbringt seine Tage in seinem\nLabor, dann rennt er plötzlich nach draußen\nin die Wildnis, um zu forschen|\rWann ist Prof. Birk eigentlich mal\nzu Hause?;
Interviewer: |this report from in front of\nPetalburg Gym.;Interviewer: Das war unsere Reportage\nüber die Arena in Blütenburg City.;
---;---;
Using a PC you can send even items!\rThe power of science is staggering!;Wenn du einen PC benutzt, kannst du\nsogar Items versenden!\rDie Kraft der Wissenschaft ist\natemberaubend!;
Um, um, um!;Äh| Ähm| Hihi|;
If you go outside and go in the grass,\nwild Pokémon will jump out!\rIt's dangerous if you don't have your\nown Pokémon!;Wenn du durch das hohe Gras läufst,\nwirst du wilde Pokémon entdecken.\rDas ist gefährlich, wenn du keine eigenen\nPokémon dabeihast.;
Oh, hello. And you are?\r| | | | | | | | |\n| | | | | | | | |\rOh, you're [PLAYER],\nour new next-door neighbor! Hi!\rWe have a kid about the same age as you.\rOur kid was excited about\nmaking a new friend.\rOur kid is upstairs, I think.;Oh, hallo, Wer bist du?\r| | | | | | | | |\n| | | | | | | | |\rOh, du bist [PLAYER], unser neuer\nNachbar! Hallo!\rWir haben ein Kind in deinem Alter.\rMein Kind freut sich schon darauf,\nmit dir Freundschaft zu schließen.\rMein Kind ist oben, denke ich.;
Like child, like father.\rMy husband is as wild about\nPokémon as our child.\rIf my husband is not at his Lab, he's likely scrabbling about in grassy places.;Wie der Vater, so das Kind.\rMein Mann ist genauso verrückt nach\nPokémon wie unser Kind.\rWenn er nicht gerade im Labor ist, krabbelt\ner mit Sicherheit draußen durch das Gras.;
It's crammed with books on Pokémon.;Es ist voll mit Büchern über Pokémon.;
It's a PC used for research.\nBetter not mess around with it.;Ein PC, der in der Forschung eingesetzt wird.\nBesser nicht damit spielen!;
It's a serious-looking machine.\nIt must be used for research.;Das ist eine kompliziert aussehende Maschine.\nSie wird wohl für Forschungen gebraucht|;
Hunh? Prof. Birch?\rThe Prof's away on fieldwork.\nErgo, he isn't here.\rOh, let me explain what fieldwork is.\rIt is to study things in the natural\nenvironment, like fields of mountains,\ninstead of a laboratory.\rThe Prof isn't one for doing desk work.\nHe's the type of person who would\nrather go outside and experience things\nthan read about them here.;Wie? Prof. Birk?\rDer Prof arbeitet an einer Feld-Studie.\nAlso ist er nicht hier.\rOh ich erkläre dir, was eine\nFeld-Studie in diesem Fall ist:\rMan beobachtet und studiert Dinge in ihrem\nnatürlichen Umfeld.\rIn Feldern oder auf Bergen,\nanstatt im Labor.\rDer Prof ist kein Typ, der am\nSchreibtisch arbeiten kann.\rEr muss einfach draußen in der freien\nNatur die Dinge beobachten und studieren.;
Hi, neighbor!\rDo you already have your own Pokémon?;Hey, Nachbar!\rHast du schon ein eigenes Pokémon?;
Let me explain again what fieldwork is.\rIt is to study things in the natural\nenvironment, like fields of mountains,\ninstead of a laboratory.\rThe Prof isn't one for doing desk work.\nHe's the type of person who would\nrather go outside and experience things\nthan read about them here.;Oh ich erkläre dir, was\neine Feld-Studie in diesem Fall ist:\rMan beobachtet und studiert Dinge in ihrem\nnatürlichen Umfeld.\rIn Feldern oder auf Bergen,\nanstatt im Labor.\rDer Prof ist kein Typ, der am\nSchreibtisch arbeiten kann.\rEr muss einfach draußen in der freien\nNatur die Dinge beobachten und studieren.;
Oh, you're [PLAYER], aren't you?\nMoved in next door, right?\rMy name's [RIVAL]. So hi, neighbor.\rHuh? Hey, [PLAYER],\ndon't you have a Pokémon?\rDad, Prof. Birch, said that our new\nnext-door neighbor is a Gym Leader's kid|\rSo, I assumed you would already have\nsome cool, strong Pokémon|\rDo you want me to go catch you one?\rAh, I forgot|\rI'm supposed to go help my dad\ncatch some wild Pokémon.\rSome other time, okay?;Ach ja, du bist [PLAYER], richtig?\nDu bist nebenan eingezogen, stimmt's?\rIch bin [RIVAL].\nAlso: Hallo Nachbar!\rWas? [PLAYER], du hast kein einziges\nPokémon?\rVater, Prof. Birk, hat gesagt, dass nebenan\ndas Kind eines Arenaleiters einzieht|\rAlso habe ich gedacht, du hättest ein\npaar coole, starke Pokémon|\rSoll ich eines für dich fangen?\rAch, Mist, das habe ich ganz vergessen|\rIch muss meinem Vater helfen, einige\nwilde Pokémon zu fangen.\rEin anderes Mal, okay?;
It's [RIVAL]'s Poké Ball!\rBetter leave it right where it is.;Der Pokéball gehört [RIVAL]!\rLass ihn besser liegen!;
Pokémon fully restored|\nItems all packed, and|;Pokémon: Bei guter Gesundheit!\nItems: Verstaut. Fehlt noch| Was?;
That [RIVAL]!\rI guess our child is too busy with Pokémon\nto notice that you came to visit|;Oh, [RIVAL]!\rIch vermute, unser Kind ist viel zu sehr mit\nPokémon beschäftigt und merkt gar nicht,\ndass du zu Besuch hier bist|;
It's a book that is too hand to read.;Dieses Buch ist viel zu kompliziert|;
It's a half-empty pot of warm coffee.;Eine halb leere Tasse mit warmem Kaffee.;
It's a half-full pot of cold coffee.;Eine halb volle Tasse mit kaltem Kaffee.;
Hey!\nYou|\rWho are you?;Hey!\nDu|\rWer bist du denn?;
Um, hi!\rThere are scary Pokémon outside!\nI can hear their cries!\rI want to go see what's going on,\nbut I don't have any Pokémon|\rCan you go see what's happening for me?;Äh| Hallo!\rDa ist ein fürchterliches Pokémon!\nIch kann sein Ruf hören!\rIch würde mir ja gerne mal ansehen, was da los\nist, aber ich habe kein Pokémon|\rKannst du nicht für mich nachschauen,\nwas da los ist?;
H-Help me!;Hi| Hiiiilfe!;
Hello! You over there!\nPlease! Help!\rIn my bag!\nThere's a Poké Ball!;Hilfe! Du dort drüben!\nBitte! Hilfe!\rIn meiner Tasche|\nDa findest du einen Pokéball!;
Prof. Birch: Whew|\rI was in the tall grass studying wild\nPokémon when I was jumped.\rYou saved me. Thanks a lot!\rOh?\rHi, you're [PLAYER]!\rThis is not the place to chat, so come by my\nPokémon Lab, okay?;Prof. Birk: Puuh|\rIch habe im hohen Gras Pokémon studiert,\nals ich angesprungen wurde.\rDu hast mich gerettet.\nVielen, vielen Dank!\rOh?\rHi, du bist doch [PLAYER]!\rAber dies ist nicht der Ort für ein\nSchwätzchen.\rKomm doch mit in mein Pokémon-Labor,\nokay?;
Prof. Birch: So, [PLAYER].\rI've heard so much about you\nfrom your father.\rI've heard that you don't have\nyour own Pokémon yet.\rBut the way you battled earlier,\nyou pulled it off with aplomb!\rI guess you have your father's blood\nin your veins after all!\rOh yes. As thanks for rescuing me, I'd like\nyou to have the Pokémon you used earlier.;Prof. Birk: Du bist also [PLAYER]!\rDein Vater hat mir schon viel von dir erzählt.\rIch habe auch erfahren, dass du noch\nkein eigenes Pokémon besitzt.\rAber wie du eben gekämpft hast|\nDiese Gelassenheit|\rIn deinen Adern fließt wirklich das Blut\ndeines Vaters!\rAls Dank dafür, dass du mich gerettet hast,\nmöchte ich dir das Pokémon schenken,\ndas du gerade benutzt hast.;
[PLAYER] received [TEAM:0].;[PLAYER] erhielt [TEAM:0].;
Would you like to give a nickname to [TEAM:0]?;Möchtest du dem [TEAM:0] einen Kosenamen geben?;
Prof. Birch: If you work at Pokémon and gain\nexperience, I think you'll make an\nextremely good Pokémon Trainer.\rMy kid, [RIVAL], is also studying Pokémon\nwhile helping me out.;Prof. Birk: Wenn du dich mit Pokémon\nbeschäftigst und Erfahrungen sammelst,\nwirst du bestimmt ein sehr guter Trainer.\rMein Kind, [RIVAL], studiert ebenfalls\nPokémon und hilft mir dabei sehr.;
Prof. Birch: Oh, don't be that way.\nYou should go meet my kid.;Prof. Birk: Ach, sei doch nicht so!\nIhr solltet euch wirklich treffen.;
Prof. Birch: Great!\n[RIVAL] should be happy, too.\rGet [RIVAL] to teach you what it means\nto be a Pokémon Trainer.;Prof Birk: Großartig!\n[RIVAL] wird sich auch freuen.\r[RIVAL] soll dir beibringen, was es\nbedeutet, ein Trainer zu sein.;
Prof. Birch: [RIVAL]?\nGone home, I think.\rOr maybe that kid's scrabbling around in\ntall grass again somewhere|\rIf you or your Pokémon get tired,\nyou should get some rest at home.;Prof. Birk: [RIVAL]?\n[RIVAL] ist nach Hause gegangen, glaube ich.\rOder das Kind krabbelt mal wieder\nirgendwo durch hohes Gras|\rWenn du und deine Pokémon müde sind,\ndann ruht euch zu Hause aus.;
Prof. Birch is studying the habitats and\ndistribution of Pokémon.\rThe Prof enjoys [RIVAL]'s help, too.\nThere's a lot of love there.;Prof. Birk studiert den Lebensraum\nund die Verbreitung von Pokémon.\rDer Prof freut sich über die Mitarbeit\nvon [RIVAL]. Da spürt man Zuneigung!;
You saved Prof. Birch!\nI'm so glad!;Du hast Prof. Birk gerettet!\nIch bin total froh!;
Oh, [RIVAL] went out to Route 103\njust a little while ago.\rLike father, like child.\n[RIVAL] can't stay quietly at home.;Oh, [RIVAL] ist vor kurzem zur\nRoute 103 aufgebrochen.\rWie der Vater, so das Kind. [RIVAL] hält\nes keine fünf Minuten im Haus aus.;
Mom: How are you doing, [PLAYER]?\nYou look a little tired.\rI think you should rest a bit.;Mutter: Wie geht es dir, [PLAYER]?\nDu siehst müde aus.\rIch denke, du solltest dich etwas ausruhen.;
Mom: Take care, honey!.;Mutter: Pass auf dich auf, Schatz!;
Aaaah! Wait!\nPlease don't come in here.;Aaaah! Warte!\nBitte nicht dort entlang laufen!;
I just discovered the footprints\nof a rare Pokémon!\rWait until I finish sketching them, okay?;Ich habe dort die Fußspuren eines\nseltenen Pokémon gesehen!\rWarte, bis ich fertig bin, sie\nabzuzeichnen, okay?;
---;---;
Hi!\nI work at a Pokémon Mart.\rWhat is a Pokémon Mart you may ask?\rIt is a building just as the one right behind me.\nJust look for our blue roof.\rWe sell a variety of goods including\nPoké Balls for catching Pokémon.\rHere, I'd like you to have these\nPotions as promotional items.;Hi!\nIch arbeite in einem Pokémon-Supermarkt.\rWas ein Pokémon-Supermarkt ist?\rDas ist ein Gebäude wie das hinter mir.\nAchte einfach auf unser blaues Dach.\rWir verkaufen eine Menge nützlicher Dinge,\nwie Pokébälle, mit denen man Pokémon fängt.\rHier, ein paar Tränke als ein\nkleines Werbegeschenk.;
A Potion can be used anytime, so it can be\neven more useful than a Pokémon Center.;Ein Trank kann zu jeder Zeit eingesetzt\nwerden, daher ist er in manchen Situationen\nwertvoller als ein Pokémon-Center.;
[RIVAL]: Okay, so it's this one and that one\nthat live on Route 103|;[RIVAL]: So| Dieses und dieses leben also an\nder Route 103|;
Hey, it's [PLAYER]!\r|Oh, yeah, Dad gave you a Pokémon.\rSince we're here, how about a little battle?\rI'll teach you what being a\nPokémon Trainer's about!;Hey, da ist ja [PLAYER]!\r| Oh ja. Mein Vater hat dir ein Pokémon\ngeschenkt, nicht wahr?\rWenn wir schon mal hier sind, lass uns\ndoch einen kleinen Kampf austragen.\rIch bringe dir bei, was ein Trainer\nwissen muss.;
[RIVAL]: I think I get it. I think I know\nwhy my dad has his eye out for you now.\rLook, your Pokémon already likes you, even though you just got it.\r[PLAYER], I get the feeling that you could\nbefriend any Pokémon with ease.\r| | |\rWe should head back to the lab.;[RIVAL]: Ich denke, ich habe es kapiert.\rIch weiß jetzt, warum mein Vater dich\nausgesucht hat.\rDu hast dein Pokémon noch nicht lange,\nund doch mag es dich schon.\r[PLAYER], ich glaube, du kannst mit\njedem Pokémon Freundschaft schließen.\rWir sollten zurück zum Labor gehen.;
---;---;
I think it's wonderful for people to\ntravel with Pokémon.\rBut you should go home every so often\nto let you mother know you're okay.\rShe might not say it, but I'm sure she\nworries about you, [PLAYER].;Ich glaube, es ist wunderbar für Leute,\nmit ihren Pokémon zu reisen.\rAber du solltest öfter nach Hause gehen und\ndeiner Mutter zeigen, dass es dir gut geht.\rSie lässt es sich nicht anmerken, aber sie\nmacht sich bestimmt Sorgen!;
Prof. Birch: Oh, welcome back, [PLAYER]!\rI heard you beat [RIVAL] on your first try.\nThat's excellent!\r[RIVAL]'s been helping with my research\nfor a long time.\r[RIVAL] has an extensive history as a\nPokémon Trainer already.\rThat reminds me, [PLAYER].\rHere, I ordered this for my research,\nbut I think you should have this PokéDex.;Prof. Birk: Oh, hallo, [PLAYER]!\rIch habe gehört, du hast [RIVAL] besiegt!\nSuper!\rDas war dein erster Kampf gegen einen\nTrainer!\r[RIVAL] hilft mir schon sehr lange bei\nmeinen Forschungen.\r[RIVAL] hat eine respektable Vergangenheit\nals Trainer.\rHier, das hilft mir bei meinen Forschungen.\rAber ich denke, du kannst den\nPokéDex auch gebrauchen.;
[PLAYER] received the PokéDex.;[PLAYER] erhielt den PokéDex.;
Prof. Birch: The PokéDex is a high-tech tool\nthat automatically makes a record\nof any Pokémon you meet or catch.\rMy kid, [RIVAL], goes everywhere with it.\rWhenever my kid catches a rare Pokémon\nand records its data in the PokéDex,\n[RIVAL] looks for me while I'm out\ndoing fieldwork, and shows me.;Prof. Birk: Der PokéDex ist ein high-tech\nGerät, das automatisch jedes Pokémon\nregistrierst, das du siehst oder fängst.\r[RIVAL] geht nie ohne ihn aus dem Haus.\rImmer, wenn [RIVAL] ein seltenes Pokémon\nfängt, eilt [RIVAL] schnell zu mir,\num mir den Eintrag im PokéDex zu zeigen.;
[RIVAL]: Huh|\nSo you got a PokéDex, too.\rWell then, here.\nI'll give you these.;[RIVAL]: Ach|\nDu hast auch einen PokéDex.\rNa, dann, gebe ich dir die hier.;
[RIVAL]: You know it's more fun to have a\nwhole bunch of Pokémon.\rI'm going to explore all over the place to find\ndifferent Pokémon.\rIf I find any cool Pokémon, you bet I'll try\nto get them with Poké Balls.;[RIVAL]: Weißt du, je mehr Pokémon du besitzt,\ndesto mehr Spaß macht es.\rIch reise viel umher, um die verschiedensten\nPokémon zu finden.\rUnd wenn ich ein cooles Pokémon sehe,\nversuche ich natürlich, es zu fangen.;
[RIVAL]: Where should I look for Pokémon\nnext|;[RIVAL]: Hm, wo soll ich wohl als nächstes\nnach Pokémon suchen?;
Prof. Birch: Countless Pokémon await you!\rArgh, I'm getting the itch to get out and\ndo fieldwork again!;Prof. Birk: Unzählige Pokémon erwarten dich.\rHach, ich muss jetzt auch dringend\nwieder meinen Forschungen nachgehen.;
Mom: Wait, [PLAYER]!;Mutter: Warte, [PLAYER]!;
Mom: [PLAYER]! [PLAYER]! Did you introduce\nyourself to Prof. Birch?\rOh! What an adorable Pokémon!\nYou got it from Prof. Birch. How nice!\rYou're your father's child, all right.\nYou look good together with Pokémon!\r| | | | | | | | | |\n| | | | | | | | | |\rTo think that you have your\nvery own Pokémon now|\rYour father will be overjoyed.\r|But please be careful.\nIf anything happens, you can come home.\rGo on, go get them, honey!;Mutter: [PLAYER]! [PLAYER]! Hast du dich schon\nProf. Birk vorgestellt?\rOh! Was für ein hübsches Pokémon!\nDu hast es von Prof. Birk erhalten? Toll!\rGanz wie dein Vater! Wunderbar.\nDu siehst gut aus mit deinem Pokémon!\r| | | | | | | | | |\n| | | | | | | | | |\rSich vorzustellen, dass du nun dein\neigenes Pokémon besitzt|\rDein Vater wird überglücklich sein.\r| Aber sei bitte vorsichtig.\rSollte etwas passieren,\nkomm wieder nach Hause.\rLauf, schnapp' sie dir alle, Schatz!;
Are you going to catch Pokémon?\nGood luck!;Gehst du Pokémon fangen?\nViel Glück!;
I finished sketching te footprints of a rare Pokémon.\rBut it turns out they were only\nmy own footprints|;Ich habe die Fußspuren eines seltenen\nPokémon abgezeichnet.\rAber hinterher habe ich festgestellt,\ndass es meine eigenen Spuren waren|;
Mom: Did you introduce yourself to\nProf. Birch?;Mutter: Hast du dich bei Prof. Birk\nvorgestellt?;
[PLAYER], don't you think it might\nbe a good idea to go see [RIVAL]?;[PLAYER], meinst du nicht, es wäre eine gute\nIdee, wenn du dich mit [RIVAL] triffst?;
Route 102\nOldale Town [478];Route 102\nRosaltstadt [478];
Route 102\n[475] Petalburg City;Route 102\n[475] Blütenburg City;
